"SERIAL","SKU","GRADE","SCAN DATE","SKID ID","EID",
"1S10MUS1LD00MJ077TTM","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1LD00MJ077TTL","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1LD00MJ08JQRZ","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1JA00MJ06KWES","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1LD00MJ077TTG","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1LD00MJ077TTF","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1LD00MJ08JQRX","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1LD00MJ077TTN","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1JA00MJ06KW2D","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1LD00MJ075SZL","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1JA00MJ072CDK","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1JA00MJ06EJ05","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1JA00MJ06KWDW","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS2KB00MJ07FH11","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1JA00MJ06EH9M","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1JA00MJ06KWD0","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1LD00MJ077TTK","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1LD00MJ0787VE","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"1S10MUS1LD00MJ0787VD","REC-M910Q-M-I5","","2022-09-29 09:52:43","RN-10742-1","519",
"RN-TEMP-0000901","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"RN-TEMP-0000902","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ01ZYQ6","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"RN-TEMP-0000903","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"RN-TEMP-0000904","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ00DNH9","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03P00MJ02EVZ8","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ00DNH7","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ02S441","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ02NUNP","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ02LTPE","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ03FNWV","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ03FNXX","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS4B200MJ03GMBJ","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"RN-TEMP-0000905","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03P00MJ00467E","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ023M4F","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ00DKWH","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AA0023USMJ00QCZJ","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"RN-TEMP-0000906","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS4B200MJ03FSTW","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ00E7VZ","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ02AWEQ","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ03FNXE","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"RN-TEMP-0000907","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ01DAYZ","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS5QV00MJ039ZUZ","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ02S43C","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ02S43B","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ00FP1S","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"1S10AAS03R00MJ01S44T","REC-M93P-M-I5","","2022-09-29 09:57:42","RN-10742-1","519",
"5CT6MR2","REC-7050-M-I5","","2022-09-29 09:58:11","RN-10742-1","519",
"1S10FLS0FT00MJ046X9Y","REC-M900-M-I5","","2022-09-29 09:59:07","RN-10742-1","519",
"MXL0152CQ4","REC-600G5-M-I5","","2022-09-29 10:00:03","RN-10742-1","519",
"MXL0403PD2","REC-600G5-M-I5","","2022-09-29 10:00:03","RN-10742-1","519",
"MXL04033YF","REC-600G5-M-I5","","2022-09-29 10:00:03","RN-10742-1","519",
"MXL0152BT1","REC-600G5-M-I5","","2022-09-29 10:00:03","RN-10742-1","519",
"MXL04139KF","REC-600G5-M-I5","","2022-09-29 10:00:03","RN-10742-1","519",
"MXL0403QBS","REC-600G5-M-I5","","2022-09-29 10:00:03","RN-10742-1","519",
"MXL0142BLF","REC-600G5-M-I5","","2022-09-29 10:00:03","RN-10742-1","519",
"MXL0142BCG","REC-600G5-M-I5","","2022-09-29 10:00:03","RN-10742-1","519",
"MXL0152DDF","REC-600G5-M-I5","","2022-09-29 10:00:03","RN-10742-1","519",
"3L793W2","REC-3060-M-I5","","2022-09-29 10:01:19","RN-10742-1","519",
"5Z193W2","REC-3060-M-I5","","2022-09-29 10:01:19","RN-10742-1","519",
"3L7B3W2","REC-3060-M-I5","","2022-09-29 10:01:19","RN-10742-1","519",
"3L6G3W2","REC-3060-M-I5","","2022-09-29 10:01:19","RN-10742-1","519",
"2NDFDW2","REC-3060-M-I5","","2022-09-29 10:01:19","RN-10742-1","519",
